prize_id,prize_alias,prize_name,prize_institution,prize_year,prize_genre,person_id,person_role,last_name,first_name,name,gender,sexuality,uk_residence,ethnicity_macro,ethnicity,highest_degree,degree_institution,degree_field_category,degree_field,viaf,book_id,book_title
15,Ted Hughes Award for New Work in Poetry,Ted Hughes Award for New Work in Poetry,Poetry Society,2012,Poetry,557,shortlisted,Fisher,Roy,"Fisher, Roy",man,unknown,True,White British,British,Bachelors,University of Birmingham,unknown,unknown,96556401,715,Locklines
7,Costa Children's Book Award,Costa Children's Book Award,Costa,2012,Children'S,82,winner,Gardner,Sally,"Gardner, Sally",woman,unknown,True,White British,British,Bachelors,"University of the Arts, London",unknown,unknown,6050316,115,Maggot Moon
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2012,Crime,451,shortlisted,Hall,MR,"Hall, MR",man,unknown,True,White British,British,unknown,unknown,unknown,unknown,198145542480596640599,576,The Flight
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2012,Fiction,335,shortlisted,Harding,Georgina,"Harding, Georgina",woman,unknown,True,White British,English,unknown,unknown,unknown,unknown,26737559,418,Painter of Silence
6,Costa Poetry Award,Costa Poetry Award,Costa,2012,Poetry,81,winner,Jamie,Kathleen,"Jamie, Kathleen",woman,unknown,True,White British,Scottish,Bachelors,University of Edinburgh,Philosophy and Theology,Philosophy,115146698,158,The Overhaul
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2012,Crime,449,winner,Kerrigan,Gene,"Kerrigan, Gene",man,unknown,False,Irish,Irish,unknown,unknown,unknown,unknown,7276148997699859870006,574,The Rage
8,Booker Prize,Man Booker Prize,Booker Foundation,2012,Fiction,204,shortlisted,Levy,Deborah,"Levy, Deborah",woman,unknown,True,Non-UK White,South African,Bachelors,Middlesex Polytechnic,Arts,Textile Design and Weaving,19937804,178,Swimming Home
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2012,Non-Fiction,633,shortlisted,MacFarlane,Robert,"MacFarlane, Robert",man,unknown,True,White British,British,Doctorate,University of Cambridge,Language and Literature,Literature and the Environment,85525001,812,The Old Ways
2,Costa Book of the Year,Costa Book of the Year,Costa,2012,No/Any/Multi Genre,77,winner,Mantel,Hilary,"Mantel, Hilary",woman,unknown,True,White British,English,Bachelors,University of Sheffield,Law,Law,44415775,194,Bring Up The Bodies
4,Costa Novel Award,Costa Novel Award,Costa,2012,Fiction,77,winner,Mantel,Hilary,"Mantel, Hilary",woman,unknown,True,White British,English,Bachelors,University of Sheffield,Law,Law,44415775,194,Bring Up The Bodies
8,Booker Prize,Man Booker Prize,Booker Foundation,2012,Fiction,77,winner,Mantel,Hilary,"Mantel, Hilary",woman,unknown,True,White British,English,Bachelors,University of Sheffield,Law,Law,44415775,194,Bring Up The Bodies
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2012,Fiction,314,winner,Miller,Madeline,"Miller, Madeline",woman,unknown,False,Non-UK White,White American,Masters,unknown,Language and Literature,Literature,186605056,416,The Song of Achilles
8,Booker Prize,Man Booker Prize,Booker Foundation,2012,Fiction,222,shortlisted,Moore,Alison,"Moore, Alison",woman,unknown,True,White British,English,unknown,Cornell University,Writing,Creative Writing,170658738,231,The Lighthouse
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,2012,Poetry,531,winner,Olds,Sharon,"Olds, Sharon",woman,unknown,False,Non-UK White,White American,Doctorate,Columbia University,Language and Literature,Poetry,13382047,678,Stag's Leap
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2012,Fiction,336,shortlisted,Ozick,Cynthia,"Ozick, Cynthia",woman,unknown,False,Jewish,Jewish American,Masters,Ohio State University,Language and Literature,English Literature,110575264,419,Foreign Bodies
15,Ted Hughes Award for New Work in Poetry,Ted Hughes Award for New Work in Poetry,Poetry Society,2012,Poetry,558,shortlisted,Padel,Ruth,"Padel, Ruth",woman,unknown,True,White British,British,Doctorate,University of Oxford,Language and Literature,Classics,32066951,716,The Mara Crossing
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2012,Fiction,337,shortlisted,Patchett,Ann,"Patchett, Ann",woman,unknown,False,Non-UK White,White American,Masters,University of Iowa,Writing,Creative Writing,54362733,420,State of Wonder
